claim_number,age_of_driver,sex,marital_status,safety_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,police_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
20,46,M,0,75,106395,1,1,Rent,85076,2019-04-24,Wednesday,Local,1,1,61,Broker,1,3177.63,10,Large,,blue,3320,1
21,50,M,1,89,110660,1,1,Rent,20151,2019-04-13,Saturday,Parking Lot,0,0,10,Phone,0,5712.28,6,Compact,53451.42,silver,1136,0
22,44,F,1,87,104205,1,1,Own,85082,2020-10-29,Thursday,Highway,2,0,17,Broker,1,5479.39,4,Medium,44607.85,gray,2732,0
23,55,F,1,87,115380,0,1,Rent,85033,2019-05-28,Tuesday,Highway,0,0,82,Broker,0,5054.29,6,Medium,17123.78,silver,2379,0
24,35,F,1,60,92770,1,1,Own,15001,2020-02-19,Wednesday,Local,2,0,50,Broker,0,6170.33,6,Medium,60839.94,red,2141,0
25,30,F,1,79,85060,1,1,Own,50041,2019-08-25,Sunday,Parking Lot,0,0,61,Phone,0,3973.69,7,Medium,28091.43,silver,1832,0
26,51,F,1,87,111620,1,1,Own,50050,2019-10-30,Wednesday,Highway,0,1,58,Broker,1,4462.12,5,Medium,34778.37,red,1575,0
27,42,M,0,69,101955,1,0,Own,20138,2020-04-11,Saturday,Highway,0,0,22,Online,1,2672.12,1,Medium,39995.51,gray,1726,0
28,70,M,1,58,127440,1,0,Own,20158,2019-10-04,Friday,Local,0,0,50,Phone,0,2417.92,5,Medium,29214.54,black,2139,0
29,55,M,1,67,115445,0,0,Rent,85003,2019-03-14,Thursday,Local,0,1,56,Online,1,3631.72,5,Medium,56915.46,black,2370,0
30,38,M,1,78,96870,0,0,Rent,20140,2019-01-24,Thursday,Local,0,0,50,Phone,1,7204.67,3,Medium,17991.21,gray,1562,0
31,55,F,1,67,115310,1,0,Rent,20151,2019-01-22,Tuesday,Other,0,0,49,Broker,0,5039.46,8,Medium,14345.76,blue,2650,0
32,44,F,1,56,104120,0,0,Own,50047,2019-04-05,Friday,Local,2,0,39,Online,0,3317.34,7,Compact,27852.45,gray,1097,1
33,42,F,0,92,101920,1,1,Own,50009,2020-08-01,Saturday,Highway,0,0,72,Phone,1,3388.57,4,Medium,12006.56,red,1577,0
34,35,M,1,85,92715,0,1,Own,80033,2019-05-12,Sunday,Parking Lot,0,1,97,Broker,1,3985.43,7,Medium,21881.57,silver,2077,0
35,34,F,1,94,91290,1,0,Own,85071,2019-02-28,Thursday,Local,0,1,96,Broker,0,10125.62,4,Large,31606.32,black,3862,0
36,39,M,1,98,98210,1,1,Rent,85030,2019-01-19,Saturday,Local,0,0,90,Broker,0,9518.93,4,Medium,41638.8,black,1887,0
37,70,M,0,88,127405,1,0,Own,50021,2019-01-12,Saturday,Parking Lot,0,0,3,Online,0,1930.82,4,Medium,192825.62,blue,1976,1
38,166,F,1,55,124410,1,1,Own,85075,2020-01-09,Thursday,Local,1,0,41,Broker,1,2380.01,8,Medium,38142.34,white,1759,1
39,46,M,1,93,106465,0,1,Own,20134,2019-10-21,Monday,Local,0,1,65,Broker,1,2092.12,6,Medium,24360.8,black,2603,0
40,35,M,1,89,92835,1,0,Own,85035,2020-09-13,Sunday,Local,1,0,11,Broker,1,2824.13,3,Large,13732.93,other,3682,0
41,39,F,0,86,98155,0,1,Rent,85026,2019-07-20,Saturday,Local,1,0,1,Broker,1,5880.03,4,Medium,29152.38,silver,2295,0
42,47,F,1,75,107535,1,0,Rent,20103,2020-02-05,Wednesday,Local,0,0,100,Broker,1,4147.77,2,Medium,18215.13,black,1980,0
43,50,F,1,92,110605,0,1,Rent,85017,2019-03-07,Thursday,Local,0,1,100,Broker,0,5269.11,11,Large,15197.32,silver,5508,0
44,53,F,1,63,113520,1,1,Own,80110,2019-01-10,Thursday,Local,0,0,1,Broker,1,2137.28,8,Compact,33940.91,black,1428,0
45,55,M,1,83,115325,0,1,Own,80107,2019-07-29,Monday,Parking Lot,0,0,69,Phone,0,6011.23,4,Large,128451.32,other,3052,0
46,45,M,1,81,105330,1,1,Own,80047,2019-09-15,Sunday,Local,0,1,50,Broker,0,3850.36,7,Large,25468.3,white,3048,0
47,36,M,1,77,94160,1,0,Own,15057,2020-09-04,Friday,Local,0,0,4,Broker,1,1867.71,11,Medium,11995.86,silver,2071,0
48,58,F,1,76,118190,1,0,Own,20148,2019-07-02,Tuesday,Local,1,0,86,Broker,0,2718.87,7,Compact,15424.41,white,1156,1
49,30,M,1,73,85025,1,0,Rent,50001,2020-01-22,Wednesday,Parking Lot,0,0,91,Broker,0,4388.59,0,Medium,19906.04,blue,2185,0
50,49,M,1,84,109645,1,1,Own,20128,2020-03-10,Tuesday,Parking Lot,0,0,42,Broker,0,9581.14,7,Medium,18026.35,other,1838,0
51,40,F,1,77,99455,1,1,Own,50047,2020-07-04,Saturday,Parking Lot,0,0,50,Phone,1,5891.42,5,Medium,19450.26,silver,1592,0
52,35,F,1,63,1,1,1,Own,80003,2020-08-25,Tuesday,Highway,0,0,93,Phone,1,5429.71,3,Medium,22227.22,black,2061,0
53,36,M,1,87,94230,1,1,Own,15004,2019-02-10,Sunday,Local,6,1,50,Broker,1,6656.71,4,Large,26662.66,blue,4024,1
54,49,F,1,50,1,1,1,Rent,80014,2020-06-04,Thursday,Parking Lot,0,0,50,Broker,0,4709.89,4,Large,38439.49,silver,4744,0
55,45,F,1,64,105355,0,1,Own,15046,2019-11-22,Friday,Local,2,0,47,Broker,1,3248.16,2,Compact,20957.7,blue,1401,1
56,40,M,1,82,99375,1,1,Rent,50054,2019-01-06,Sunday,Local,0,0,65,Broker,1,3601.41,7,Medium,28175.82,white,2689,0
57,34,M,0,89,1,0,1,Own,80002,2019-08-12,Monday,Local,0,0,63,Broker,1,2245.05,3,Large,12224.11,red,4293,0
58,27,M,0,36,79775,1,0,Rent,50023,2019-11-25,Monday,Parking Lot,2,0,71,Phone,1,6794.78,5,Large,7879.24,black,3995,0
59,51,F,1,85,111595,0,1,Own,85065,2020-10-19,Monday,Highway,0,1,70,Broker,0,6113.61,6,Medium,38245.97,other,2196,0
60,62,M,0,90,121425,1,1,Own,50021,2019-11-19,Tuesday,Local,0,0,76,Phone,1,5001.11,4,Medium,16521.38,white,2587,0
61,28,M,1,95,81580,1,1,Rent,80040,2019-06-22,Saturday,Local,0,0,2,Online,0,5930.52,6,Compact,14549.74,red,859,0
62,54,M,1,69,114455,1,0,Rent,,2020-09-29,Tuesday,Parking Lot,1,0,66,Online,1,4458.39,4,Medium,25344.66,blue,2676,0
63,31,F,0,94,86685,1,1,Own,85077,2020-02-05,Wednesday,Local,1,0,94,Phone,1,5270.91,4,Medium,21003.68,gray,2376,0
64,44,M,0,73,104260,1,1,Own,50043,2020-11-20,Friday,Parking Lot,1,1,81,Phone,1,3812.90,1,Medium,15002.2,gray,1830,0
65,51,F,1,94,111610,1,0,Own,85050,2019-08-30,Friday,Local,0,1,1,Broker,0,3037.61,1,Compact,43824.76,other,1205,0
66,51,M,1,90,111600,1,1,Own,85077,2020-09-28,Monday,Parking Lot,0,0,1,Broker,1,4264.01,5,Medium,8140.04,white,1949,0
67,51,F,1,77,111620,1,1,Own,50009,2020-06-21,Sunday,Highway,0,0,45,Broker,0,4016.13,6,Medium,42900.76,gray,2820,0
68,37,F,1,34,95535,1,0,Own,50047,2020-05-25,Monday,Highway,0,1,93,Broker,0,3964.79,3,Medium,19388.08,gray,2139,0
69,62,F,0,75,121290,0,1,Own,,2020-01-28,Tuesday,Local,0,0,28,Phone,1,3011.28,4,Large,,gray,3379,0
70,42,F,1,66,101890,1,1,Rent,80021,2020-10-14,Wednesday,Local,2,0,50,Broker,1,4663.00,4,Large,15107.92,other,3728,1
71,32,F,0,93,88290,1,0,Own,80010,2019-12-21,Saturday,Highway,0,0,100,Phone,0,4130.14,8,Compact,15699.25,other,1329,0
72,27,F,0,91,79825,0,1,Rent,80024,2019-09-14,Saturday,Local,0,1,31,Online,1,3263.77,4,Compact,18863.86,silver,1421,0
73,53,M,1,75,113510,1,1,Own,50047,2019-10-08,Tuesday,Parking Lot,0,0,44,Broker,0,5411.45,4,Medium,15572.03,gray,2141,0
74,57,M,1,65,117165,1,0,Rent,85007,2019-07-07,Sunday,Parking Lot,1,0,64,Phone,1,5461.15,1,Medium,9732.69,gray,2771,0
75,50,M,0,88,110655,1,1,Own,80027,2020-03-03,Tuesday,Local,1,0,3,Broker,1,6617.73,6,Medium,26104.12,silver,1865,0
76,22,M,1,69,69620,0,0,Rent,50058,2019-01-07,Monday,Parking Lot,0,0,100,Online,0,2655.36,4,Medium,24786.22,red,1730,1
77,52,F,1,94,112620,0,1,Own,15052,2020-02-25,Tuesday,Local,0,0,100,Broker,1,7378.58,8,Medium,7242.99,other,1771,0
78,46,F,1,72,106435,0,0,Own,80021,2020-06-30,Tuesday,Other,0,0,98,Broker,0,5868.14,3,Medium,34776.22,white,2082,0
79,56,M,1,83,116210,1,1,Rent,20148,2020-09-16,Wednesday,Local,0,1,27,Phone,0,4511.91,3,Medium,10883.71,red,1525,0
80,37,F,1,69,95550,0,1,Own,85051,2019-03-01,Friday,Local,1,0,6,Broker,1,3284.07,3,Large,31840.83,red,3946,0
81,65,F,0,38,123765,1,0,Rent,85072,2019-01-14,Monday,Parking Lot,0,0,47,Broker,1,3172.59,4,Medium,36309.46,blue,2231,0
82,41,M,1,71,100610,0,1,Own,50020,2018-12-29,Saturday,Local,1,0,78,Broker,0,5346.73,4,Medium,41698.21,black,1892,0
83,43,F,0,89,103095,1,1,Own,85070,2020-04-11,Saturday,Parking Lot,0,1,100,Broker,1,1756.42,7,Medium,18542.81,blue,2130,1
84,23,F,1,85,71810,1,0,Own,50039,2020-02-21,Friday,Local,0,0,72,Online,0,5030.65,3,Large,19730.66,red,5071,0
85,45,M,0,56,105260,1,1,Own,20101,2019-06-18,Tuesday,Parking Lot,1,0,100,Broker,0,2697.47,7,Medium,,blue,1585,1
86,41,M,1,76,100655,0,1,Own,50041,2020-09-21,Monday,Local,0,1,99,Broker,1,1022.64,7,Compact,18631.11,black,1338,1
87,46,M,1,82,106490,1,1,Rent,50029,2019-11-04,Monday,Local,0,0,78,Broker,1,12907.06,2,Large,12809.57,red,3073,0
88,47,M,0,86,107585,0,1,Own,15001,2019-02-04,Monday,Local,5,0,51,Broker,1,5852.25,3,Medium,9707.79,white,2099,1
89,58,F,1,75,118050,0,1,Rent,80022,2020-11-21,Saturday,Parking Lot,0,0,58,Broker,0,6241.44,6,Medium,27597.94,red,1877,0
90,36,F,0,92,94260,1,1,Rent,80004,2020-04-16,Thursday,Parking Lot,0,0,34,Broker,1,4323.13,5,Medium,48135.78,silver,2050,0
91,37,M,1,37,95555,1,1,Own,20119,2019-11-16,Saturday,Local,0,0,33,Broker,0,4876.94,6,Large,12100.52,white,4018,0
92,38,F,1,83,96905,1,1,Own,20156,2020-04-07,Tuesday,Local,0,0,0,Broker,1,2166.84,7,Medium,27521.06,blue,2471,0
93,49,F,0,60,109645,1,1,Own,50025,2020-10-26,Monday,Local,0,1,1,Broker,0,5558.34,5,Medium,4301.13,gray,2859,0
94,28,M,1,83,81610,0,1,Rent,,2019-08-26,Monday,Parking Lot,0,1,97,Phone,1,4432.23,3,Medium,11213.12,red,2737,0
95,165,M,1,72,123775,1,0,Own,15017,2019-01-20,Sunday,Highway,0,0,96,Broker,1,4578.25,6,Medium,39828.22,silver,2079,0
96,48,F,0,87,108605,1,0,Rent,15010,2020-09-02,Wednesday,Highway,1,1,9,Broker,1,6733.72,9,Large,10842.64,blue,5724,0
97,40,M,1,77,99440,1,1,Rent,80022,2020-09-17,Thursday,Local,0,0,84,Online,0,7995.40,4,Medium,51347.94,red,2188,0
98,48,F,0,60,108645,1,1,Own,15055,2019-10-08,Tuesday,Local,0,1,16,Broker,1,4593.26,5,Compact,13878.72,white,1336,0
99,55,F,1,93,115355,1,1,Own,,2019-09-14,Saturday,Local,3,0,51,Phone,1,1882.48,3,Compact,32829.03,blue,1020,1
100,30,M,1,84,85090,1,1,Own,50048,2020-11-12,Thursday,Highway,0,0,27,Broker,1,3941.32,8,Large,26138.53,red,4336,0
101,66,F,1,87,124465,0,0,Own,20140,2019-08-30,Friday,Highway,0,0,95,Broker,1,9139.03,6,Medium,31714.77,gray,2147,0
102,20,F,1,84,64805,0,0,Rent,85068,2018-12-10,Monday,Highway,1,0,23,Online,1,6490.13,4,Medium,4156.39,gray,2628,1
103,41,F,0,66,100650,1,0,Rent,20163,2020-01-13,Monday,Parking Lot,0,0,99,Phone,1,3996.45,7,Large,13942.05,gray,3992,0
104,66,M,1,54,124415,1,1,Rent,,2019-11-30,Saturday,Highway,0,0,95,Online,0,3907.62,5,Medium,31278.86,black,1856,0
105,28,F,0,90,81710,1,1,Rent,20143,2020-11-02,Monday,Local,1,0,49,Online,1,3648.16,4,Medium,18898.81,other,1796,0
106,49,F,0,79,109665,0,1,Own,85028,2019-09-27,Friday,Local,1,1,24,Phone,1,6706.72,7,Medium,11488.23,silver,2188,0
107,133,F,1,64,89795,1,0,Rent,20107,2019-01-17,Thursday,Highway,0,0,3,Phone,0,1971.47,2,Medium,12267.68,gray,1686,0
108,44,M,1,89,104255,1,1,Own,20165,2019-10-11,Friday,Highway,0,0,21,Phone,1,7193.22,3,Large,49584.22,gray,4514,0
109,54,F,1,67,114435,1,0,Rent,15024,2019-12-30,Monday,Local,0,0,95,Broker,0,3929.52,9,Compact,7821.07,gray,1070,0
110,64,M,0,76,122995,1,0,Rent,80011,2020-02-15,Saturday,Parking Lot,5,0,0,Broker,1,4535.49,3,Medium,21795.65,white,2866,1
111,36,F,0,89,94160,1,0,Own,50021,2020-08-20,Thursday,Parking Lot,0,0,96,Broker,1,8206.35,4,Medium,24432.94,black,2554,0
112,23,M,1,11,71750,1,0,Rent,20105,2018-12-08,Saturday,Parking Lot,0,0,87,Online,1,8220.93,2,Large,9898.16,gray,4403,0
113,59,M,0,54,118905,1,1,Own,20106,2019-09-25,Wednesday,Local,0,0,76,Broker,0,931.37,4,Medium,36278.1,white,2847,1
114,28,M,0,93,81600,0,1,Rent,20112,2020-01-14,Tuesday,Local,0,0,87,Online,0,1967.36,5,Medium,33638.09,red,1973,0
115,46,F,0,98,106410,1,0,Rent,15022,2019-07-07,Sunday,Highway,1,1,7,Online,1,7978.93,5,Medium,16050.37,black,1996,0
116,25,M,1,43,75920,1,0,Rent,20124,2020-10-05,Monday,Local,0,0,66,Online,1,3822.85,4,Medium,14034.03,blue,1695,0
117,51,M,0,47,111545,1,1,Rent,15009,2020-01-28,Tuesday,Parking Lot,0,0,50,Broker,1,7311.72,6,Medium,23088.6,white,2027,0
118,46,F,1,90,106385,0,1,Rent,80045,2019-06-18,Tuesday,Highway,1,0,15,Online,1,7010.19,7,Medium,27539.15,white,2201,0
119,41,M,1,64,100625,1,0,Rent,20156,2020-05-20,Wednesday,Local,2,0,20,Phone,1,7713.19,3,Large,24455.91,red,3289,1
120,58,M,1,86,118015,,1,Own,,2019-07-19,Friday,Local,1,0,93,Phone,0,3798.77,4,Large,14203.4,silver,3448,0
121,37,F,1,72,95490,1,1,Rent,15019,2019-04-17,Wednesday,Local,2,0,99,Phone,1,8015.94,4,Compact,9367.19,black,1281,1
122,59,F,0,77,118840,1,0,Rent,85050,2019-02-20,Wednesday,Local,0,1,3,Broker,1,3986.50,6,Large,11276.65,white,3099,0
123,55,M,1,69,115390,1,1,Rent,50035,2020-06-28,Sunday,Highway,0,1,4,Broker,1,6223.74,5,Compact,21233.49,blue,1273,0
124,63,F,0,89,122190,1,0,Own,80109,2019-01-29,Tuesday,Local,2,1,44,Phone,0,7462.86,8,Large,17901.32,black,4933,0
125,60,M,1,39,119710,0,0,Own,85061,2020-06-04,Thursday,Highway,1,1,50,Broker,1,1965.20,8,Medium,44573,red,2801,0
126,35,M,0,30,92845,1,0,Own,50058,2019-08-02,Friday,Local,1,0,94,Broker,1,10250.83,3,Large,22897.44,silver,5636,0
127,27,M,1,93,79805,1,1,Rent,80024,2020-08-21,Friday,Local,1,0,5,Online,1,6181.32,9,Large,11338.18,gray,4873,0
128,42,M,0,68,101910,1,0,Own,80034,2019-02-10,Sunday,Highway,0,1,2,Phone,1,2245.72,3,Large,11534.56,gray,3052,0
129,37,F,0,66,95505,1,0,Own,20148,2020-05-14,Thursday,Local,0,0,100,Broker,0,5696.49,5,Large,37690.49,silver,3426,0
130,58,M,1,78,118045,1,1,Rent,15001,2020-09-18,Friday,Local,0,0,73,Broker,0,2898.83,3,Large,11847.08,blue,3955,0
131,49,F,1,64,109530,0,0,Own,80015,2020-04-06,Monday,Highway,0,0,75,Broker,1,2985.17,5,Large,9552.16,black,3151,0
132,33,F,1,55,89795,0,0,Own,80006,2019-11-23,Saturday,Highway,1,1,0,Broker,1,2618.23,3,Medium,11842.6,red,2106,0
133,56,F,0,80,116290,1,0,Rent,50025,2019-07-12,Friday,Parking Lot,0,0,48,Broker,0,5229.53,7,Medium,53566.62,gray,2662,0
134,41,F,1,48,100655,0,1,Own,50022,2020-02-09,Sunday,Local,0,0,14,Broker,0,7077.16,3,Compact,13702.75,blue,1472,0
135,44,F,0,86,104180,0,0,Rent,15001,2020-01-11,Saturday,Local,0,0,47,Broker,1,6116.65,3,Large,10252.32,silver,4489,0
136,53,M,1,75,113515,1,0,Own,50009,2019-01-21,Monday,Local,0,0,0,Phone,0,3729.62,2,Medium,15287.01,other,1854,0
137,38,F,1,72,96905,1,0,Rent,15025,2020-04-27,Monday,Parking Lot,0,0,56,Phone,1,2361.17,6,Large,13844.88,gray,3318,1
138,39,F,1,93,98270,1,0,Own,20132,2019-02-01,Friday,Local,0,0,1,Broker,1,3565.94,2,Medium,38326.57,silver,2968,0
139,62,M,1,83,121220,1,0,Own,20137,2018-12-08,Saturday,Local,1,1,99,Broker,0,2535.78,5,Medium,23086.26,other,2314,1
140,46,F,1,74,106490,1,0,Own,80104,2019-12-30,Monday,Parking Lot,1,0,9,Phone,1,5422.68,4,Medium,37107.89,gray,1930,0
141,35,F,0,87,92790,1,1,Own,20156,2020-10-21,Wednesday,Parking Lot,0,0,92,Phone,0,5627.62,1,Medium,19600.9,gray,2099,0
142,55,F,1,89,115375,1,1,Own,20120,2020-11-18,Wednesday,Highway,0,0,5,Broker,0,2892.13,8,Large,29654.68,other,3022,0
143,123,F,0,63,71725,1,1,Rent,15047,2019-11-01,Friday,Local,0,0,73,Phone,0,5984.30,4,Medium,25707.24,silver,1877,0
144,54,M,1,90,114410,1,1,Own,20158,2019-08-31,Saturday,Local,0,0,84,Broker,1,5415.29,5,Compact,12602.61,white,1277,0
145,51,F,0,71,111670,1,1,Rent,20160,2019-04-08,Monday,Local,0,0,7,Broker,0,2795.80,4,Compact,22562.55,blue,1112,0
146,61,F,1,61,120595,1,0,Rent,15014,2019-02-25,Monday,Highway,1,1,60,Broker,1,4676.62,5,Medium,18453.03,silver,2433,0
147,51,M,0,80,111655,1,0,Own,15025,2019-02-15,Friday,Local,0,1,2,Phone,1,2930.33,8,Medium,14774.95,red,1882,0
148,52,F,0,68,112590,1,1,Own,80002,2019-09-07,Saturday,Highway,0,1,0,Phone,1,5670.10,6,Medium,30100.27,red,2277,0
149,52,M,1,78,112595,1,0,Rent,15021,2019-04-20,Saturday,Local,1,0,3,Broker,0,1817.64,7,Medium,14210.76,gray,2189,1
150,33,M,1,95,89845,1,1,Rent,80002,2019-08-18,Sunday,Parking Lot,0,0,0,Broker,1,2578.93,9,Large,23972.61,red,3150,1
151,36,M,1,57,94210,0,0,Own,80018,2020-10-09,Friday,Parking Lot,0,0,28,Broker,1,3584.08,4,Medium,27611.09,white,1722,0
152,55,M,1,77,115410,1,1,Own,80027,2019-03-13,Wednesday,Parking Lot,0,0,34,Online,1,6856.36,3,Large,7581.33,silver,3629,0
153,29,F,0,88,83320,1,0,Rent,20122,2019-07-26,Friday,Local,1,1,50,Broker,1,4634.96,2,Medium,27966.48,red,1567,1
154,27,M,0,87,79830,1,1,Rent,85054,2019-11-02,Saturday,Highway,0,0,57,Phone,1,4214.16,2,Medium,25604.8,black,2723,0
155,80,M,1,49,134150,0,0,Own,50032,2020-01-10,Friday,Local,1,0,52,Phone,1,7547.32,6,Medium,12946.99,white,2149,0
156,37,F,1,80,95545,1,1,Own,,2020-06-23,Tuesday,Highway,0,0,78,Broker,1,2985.97,3,Medium,4600.13,blue,2007,1
157,63,F,0,62,122110,1,1,Own,85078,2019-03-13,Wednesday,Local,0,1,30,Broker,0,5105.84,3,Medium,8260.53,other,1812,0
158,43,M,0,32,103030,,1,Own,50032,2020-07-30,Thursday,Local,0,0,6,Phone,0,3630.17,6,Medium,11544.57,blue,2937,0
159,65,M,1,73,123735,0,1,Own,20144,2020-01-13,Monday,Local,0,1,22,Phone,0,7656.66,6,Medium,34869.34,black,2340,0
160,50,F,1,94,2105950,0,0,Own,80017,2019-05-12,Sunday,Parking Lot,0,0,21,Broker,1,3655.78,4,Medium,59659.81,other,1562,0
161,49,F,1,52,109615,1,1,Own,15003,2019-01-24,Thursday,Parking Lot,0,0,56,Broker,0,1878.70,6,Medium,17839.49,silver,2170,1
162,30,F,1,71,85020,0,0,Own,50010,2020-02-08,Saturday,Highway,2,0,39,Broker,1,3038.67,4,Large,7529.23,black,3248,1
163,49,M,1,71,109515,1,0,Own,20163,2020-11-22,Sunday,Local,1,0,18,Broker,1,3529.35,6,Compact,17113.43,blue,1122,0
164,42,F,0,70,101940,0,0,Rent,85006,2019-02-04,Monday,Local,0,0,97,Broker,0,4725.50,5,Medium,34835.92,white,2527,0
165,52,F,0,61,112570,1,1,Rent,80034,2019-12-28,Saturday,Local,2,1,79,Broker,1,5433.91,3,Medium,21870.4,red,2238,1
166,29,M,1,79,83405,1,0,Rent,85073,2019-11-03,Sunday,Local,1,0,99,Online,1,2057.23,3,Medium,13937.84,red,1886,1
167,173,M,1,60,129510,1,0,Rent,15024,2020-02-22,Saturday,Parking Lot,0,0,52,Broker,0,6009.46,2,Large,24378.05,other,3957,0
168,28,F,0,82,81580,1,0,Rent,20148,2020-04-17,Friday,Local,1,1,50,Online,1,4400.01,4,Medium,14639.43,black,2364,0
169,151,M,1,93,111610,0,0,Own,80036,2019-08-25,Sunday,Parking Lot,0,0,0,Broker,0,6855.99,3,Medium,26423.62,black,2535,0
170,61,M,1,79,120460,1,1,Own,15018,2019-03-04,Monday,Parking Lot,0,0,9,Broker,1,1560.67,4,Medium,16058.57,red,2513,1
171,43,M,0,86,103040,1,1,Own,20164,2019-07-03,Wednesday,Local,0,1,59,Broker,1,3055.44,6,Medium,12475.83,other,2132,0
172,46,F,0,81,106430,0,0,Rent,85043,2019-04-14,Sunday,Parking Lot,0,0,0,Broker,0,11003.76,2,Compact,16593.66,gray,1220,0
173,50,M,1,66,110575,1,0,Rent,50047,2020-03-03,Tuesday,Highway,0,0,19,Broker,1,5698.79,4,Medium,68805.6,blue,1684,0
174,36,F,1,93,94080,1,1,Rent,20153,2019-09-30,Monday,Parking Lot,0,0,100,Broker,1,1941.32,4,Compact,30149.05,gray,1319,1
175,55,M,0,86,115330,1,0,Own,15045,2019-05-15,Wednesday,Other,0,1,69,Phone,0,4683.97,2,Large,10736.03,blue,4612,0
176,35,F,0,82,92780,1,1,Own,15035,2020-11-26,Thursday,Local,0,0,16,Broker,0,4005.87,10,Medium,31147.03,other,1901,0
177,27,F,1,69,79760,1,0,Own,80024,2019-02-10,Sunday,Local,3,0,86,Phone,1,4045.38,7,Medium,10073.11,blue,2200,1
178,42,F,0,90,101960,1,0,Own,20129,2019-11-13,Wednesday,Local,1,0,98,Online,1,11186.53,6,Medium,32387.73,red,2200,0
179,35,M,1,60,92680,1,1,Rent,80004,2020-01-31,Friday,Local,0,0,50,Broker,0,6499.68,6,Large,22040.54,red,3245,0
180,63,M,0,71,122150,1,1,Own,50039,2020-07-12,Sunday,Parking Lot,0,0,50,Broker,1,3841.87,7,Compact,24176.35,gray,1210,0
181,42,M,0,61,101745,1,1,Rent,15012,2019-06-14,Friday,Parking Lot,0,0,59,Broker,0,5601.31,10,Large,30794.78,other,3100,0
182,99,F,1,75,2448200,1,1,Rent,20148,2020-09-08,Tuesday,Parking Lot,0,1,24,Broker,1,2177.82,2,Medium,11971.1,other,2500,1
183,62,F,1,63,121320,1,1,Own,50044,2020-03-25,Wednesday,Highway,2,0,59,Broker,1,5326.85,3,Large,11604.15,silver,4146,1
